Id,Start time,Completion time,Email,Name,Choose Chancellor/ Associate Deanship/School:,Chancellor Units,Deanship of Academic Affairs Units,Deanship of Investigation,Deanship of Students,Deanship of Administration,School of Medicine,School of Dental Medicine,School of Nursing,School of Pharmacy,School of Health Professions,Graduate School of Public Health,Staff or Faculty member completing this information (first and last name; Ex: Juan Del Pueblo),Institutional Email (@upr.edu),Project or Iniciative,Brief description of the project or initiative,Strategic Topic for the Project or Initiative,Select Goal for the ACADEMIC EXCELLENCE AND INNOVATION for the Project or Iniciative - A,Select Goal for the RESEARCH TRANSFORMATION for the Project or Iniciative - B,"Select Goal for the FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY for the Project or Iniciative - C",Select Goal for the WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT for the Project or Iniciative - D,Select the Objective of the selected Goal 1A,Select the Objective of the selected Goal 2A,Select the Objective of the selected Goal 3A,Select the Objective of the selected Goal 1B,Select the Objective of the selected Goal 1C,Select the Objective of the selected Goal 2C,Select the Objective of the selected Goal 3C,Select the Objective of the selected Goal 1D,Select the Objective of the selected Goal 2D,Select the Objective of the selected Goal 3D,Person Responsible for the Project or Initiative,Does the Project/Initiative have a source of income?,Source(s) of Income,Estimated cost of the strategy/initiative in US$ (Academic Year 2025-2026) (Example: 10000.00),Funding Status
1,02/18/2026 07:41,02/18/2026 07:53,devin.macdonald@upr.edu,DEVIN MACDONALD,Dean of Academic Affairs,,Office of the Dean of Academic Affairs,,,,,,,,,,Devin Macdonald,devin.macdonald@upr.edu,Administrative Automation - Public-key leadingedge paradigm,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Jenna Williams,Yes,PPIU - PLAN PRACT INTRAM (40312);FGF - F GRANTS FEDERALES (40231-39);GF - FONDO GENERAL (40110),24330.11,Existing
2,02/13/2026 19:31,02/13/2026 19:41,victoria.bradford@upr.edu,VICTORIA BRADFORD,School of Health Professions,,,,,,,,,,Office of the Dean - Health Professions,,Victoria Bradford,victoria.bradford@upr.edu,Student Research Fellowship - Devolved reciprocal knowledge user,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Pamela Valencia,Yes,PPIU - PLAN PRACT INTRAM (40312),85722.38,Existing
3,02/09/2026 22:57,02/09/2026 23:02,david.krueger@upr.edu,DAVID KRUEGER,School of Medicine,,,,,,Department of Anatomy,,,,,,David Krueger,david.krueger@upr.edu,Academic Advising System - Automated multi-state initiative,This initiative will transform our operations through technology and process improvement.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Jessica Brennan,Yes,REVF - FONDOS ROTATORIOS (40380),134520.79,New
4,02/07/2026 03:49,02/07/2026 03:52,walter.durham@upr.edu,WALTER DURHAM,School of Pharmacy,,,,,,,,,Department of Pharmaceutical Sciences,,,Walter Durham,walter.durham@upr.edu,Process Optimization - Upgradable analyzing leverage,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Wendy Downs,Yes,MGRC - CONTRATOS GOB MUNICIPAL (40260),216754.43,New
5,02/12/2026 20:33,02/12/2026 20:39,jennifer.mcfarland@upr.edu,JENNIFER MCFARLAND,School of Nursing,,,,,,,,Graduate Nursing Programs,,,,Jennifer Mcfarland,jennifer.mcfarland@upr.edu,Grant Writing Support - Synergized user-facing alliance,This project aims to improve outcomes through innovative approaches and collaborative efforts.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Jose Johnson,Yes,MGRC - CONTRATOS GOB MUNICIPAL (40260);FSTAID - F AYUDA ECON FED (40210-29);REVF - FONDOS ROTATORIOS (40380),95484.4,Pending
6,02/06/2026 02:14,02/06/2026 02:27,carlos.williams@upr.edu,CARLOS WILLIAMS,School of Pharmacy,,,,,,,,,Department of Pharmacy Practice,,,Carlos Williams,carlos.williams@upr.edu,Space Renovation Project - Enterprise-wide needs-based Internet solution,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Shelley Haynes,Yes,SGOVC - CONTRATOS GOB PR (40250),228370.89,Pending
7,02/16/2026 08:53,02/16/2026 09:06,robert.johnson@upr.edu,ROBERT JOHNSON,School of Medicine,,,,,,Department of Pharmacology,,,,,,Robert Johnson,robert.johnson@upr.edu,Community Outreach Initiative - Devolved optimizing knowledgebase,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,Eric Gonzalez,Yes,CPFF - F MEJORAS FONDOS FEDERALES (40470);PPIU - PLAN PRACT INTRAM (40312);PPMI - MEDICAL PRACTIVE PLAN (40311),91137.11,Existing
8,02/07/2026 16:58,02/07/2026 17:08,benjamin.adams@upr.edu,BENJAMIN ADAMS,School of Nursing,,,,,,,,Office of the Dean - Nursing,,,,Benjamin Adams,benjamin.adams@upr.edu,Faculty Development Program - Optimized object-oriented solution,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Beth Wright,Yes,PPMI - MEDICAL PRACTIVE PLAN (40311);CPF - MEJORAS PROJETOS FEMA (40471),249034.22,Pending
9,02/15/2026 02:52,02/15/2026 02:58,catherine.harris@upr.edu,CATHERINE HARRIS,School of Pharmacy,,,,,,,,,Office of the Dean - Pharmacy,,,Catherine Harris,catherine.harris@upr.edu,Accreditation Support - Exclusive client-server Internet solution,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Joshua Greene,Yes,GF - FONDO GENERAL (40110);D - DONATIVOS (40270),243000.14,Existing
10,01/23/2026 00:00,01/23/2026 00:10,edward.anderson@upr.edu,EDWARD ANDERSON,Dean of Academic Affairs,,Curricular Development,,,,,,,,,,Edward Anderson,edward.anderson@upr.edu,Student Research Fellowship - Stand-alone full-range capacity,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Meredith Kramer,No,,,N/A
